Occurence Nature condition,,Report,Occurence Nature condition,prediction
OTHER                     ,81062,"['right', 'wing', 'emergency', 'door', 'window', 'light', 'inop', '01', 'removed', 'replaced', 'right', 'wing', 'emergency', 'exit', 'door', 'window', 'light', 'ballast', 'per', 'amm', '252120', 'operational', 'check', 'norm']",OTHER                     ,OVER TEMP                 
NO TEST                   ,61585,"['aircraft', 'grounded', 'aft', 'overwingoverhead', 'exit', 'sign', 'lights', 'inoperative', 'maintenance', 'replaced', 'lamps', 'sign', 'per', 'amm', '335116', 'accomplished', 'satisfactory', 'operational', 'check']",NO TEST                   ,OTHER                     
OTHER                     ,57894,"['aircraft', 'grounded', 'first', 'officer', 'unable', 'open', 'side', 'window', 'stuck', 'adjusted', 'window', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '561211']",OTHER                     ,OVER TEMP                 
OTHER                     ,93273,"['flt1910', 'bosjfk', 'per', 'task', 'card', 'no', 'a320335100710003', 'battery', 'capacity', 'check', 'remove', 'battery', 'fin', '10wl', 'removed', 'replaced', 'battery', 'pack', 'fin', 'location', '10wl', 'ops', 'test', 'ok', 'iaw', 'amm', '335138']",OTHER                     ,NO TEST                   
ENGINE STOPPAGE           ,96070,"['crew', 'reports', '1', 'engine', 'stall', 'ecam', 'followed', 'egt', 'red', 'engine', 'shutdown', 'per', 'crew', 'engine', 'windmilled', 'approx', '80', 'minutes', 'recall', 'positive', 'oil', 'pressure', 'maintained', 'landing', 'weight', 'normal', 'tomcmeredith', 'added', 'esn', 'v11464', '8130', 'information', 'shop', 'information', 'replaced', 'no1', 'engine', 'per', 'amm', '710020', 'work', 'performed', 'documented', 'task', 'card', '31710014900', 'inspected', '1', 'engine', 'r', 'amp', 'r', 'per', 'rii']",ENGINE STOPPAGE           ,PARTIAL RPM/PWR LOSS      
WARNING INDICATION        ,63044,"['right', 'fmc', 'failed', 'vtk', 'altitude', '37000', 'mach', '790', '30', 'seconds', 'vtk', 'disappeared', 'rt', 'fmc', 'operated', '40', 'remainder', 'flight', 'grounded', 'yes', 'cycled', 'fmc', 'breakers', 'iaw', 'b7379', 'ifim', '346100810918', 'aircraft', 'ok', 'servic']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,26540,"['rh', 'lateral', 'fairing', 'emergency', 'light', 'inoperative', 'rr', 'emergency', 'light', 'bulb', 'ops', 'check', 'sat']",OTHER                     ,NO TEST                   
OTHER                     ,1910,"['aircraft', 'base', 'maintenance', 'excessive', 'play', 'aft', 'nose', 'landing', 'gear', 'door', 'right', 'removed', 'aft', 'nlg', 'door', 'right', 'iaw', 'amm', '322213010001a', 'replaced', 'aft', 'hinges', 'aala202103059001', 'forward', 'hinges', 'aala202103059035', 'hollow', 'pinaala202103059036', 'iaw', 'cmm', '528232', 'reinstalled', 'aft', 'nlg', 'door', 'rh', 'iaw', 'amm', '322213410001a']",OTHER                     ,NO TEST                   
OTHER                     ,77545,"['row', '14a', 'emer', 'light', '1', 'bulb', 'inopplaced', 'mel']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,84114,"['right', 'aft', 'galley', 'emerg', 'exit', 'indexer', 'light', 'inop', '01', 'documented', 'ccn', 'ttg8q00cljmn', 'brremoved', 'replaced', 'performed', 'good', 'installation', 'check', 'm1672', 'battery', 'pack', 'battery', 'charger', 'iaw', 'amm', '335106960806', 'amm', '335106960805', 'lights', 'associated', 'm1672', 'battery', 'illuminate', 'properly02', 'verified', 'corrective', 'action', 'entry', '1']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,61028,"['aircraft', 'grounded', '2l', 'door', 'check', 'pressure', 'messasge', 'flight', 'attendents', 'panel', 'maintenance', 'serviced', 'l2', 'door', 'damper', 'door', 'assist', 'bottle', 'per', 'task', 'card', '26l80052003']",WARNING INDICATION        ,OTHER                     
OTHER                     ,82298,"['floor', 'proximity', 'emergency', 'light', 'lens', 'next', 'fwd', 'fa', 'seat', 'missing', '01', 'cw', 'ea', 'm2113300720']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,49659,"['fwd', 'aft', 'cargo', 'switch', 'light', 'illum', 'eicas', 'message', 'displayed', 'fireovht', 'testpts', 'iaw', 'fim', '2616', 'ft', '806', 'ended', 'block', '102', 'sheet', '2', 'removed', 'replaced', 'afolts', '6', 'card', 'iaw', 'amm', '261001', 'ops', 'check', 'good', 'timep']",OTHER                     ,NO TEST                   
OTHER                     ,53714,"['aircraft', 'grounded', 'performing', 'manual', 'o2', 'mask', 'release', 'per', 'amm', '352300', 'solenoids', 'seat', 'rows', '25fed', '28fed', 'aft', 'galley', 'right', 'energize', 'all', 'failed', 'two', 'attempts', 'doors', 'binding', '27def', '28def', 'found', 'ground', 'wires', 'disconnected', '7780vn', 'reconnected', 'per', 'swpm', '205122', 'operations', 'check', 'good', 'per', 'amm', '352300']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,55305,"['aircraft', 'grounded', 'inbound', 'dfw', 'arrival', 'fms', 'deviated', 'vertical', 'profile', 'std', 'qnh', 'started', 'flashing', 'flashing', 'fl', '270', 'fms', 'totally', 'profile', 'ecam', 'cabin', 'pressure', 'safety', 'valve', 'open', 'low', 'diff', 'pr', 'fl', '17000', 'ft', 'cabin', 'pressure', 'lost', '8000', 'ft', 'landed', 'unpressurized', 'origianl', 'report', 'aala202204075432', 'replaced', 'safety', 'valves', '6hl', '7hl', 'aala202204086106', 'per', 'amm', '213152', 'satisfactory', 'operational', 'check', 'accomplish']",WARNING INDICATION        ,OTHER                     
OTHER                     ,39802,"['aft', 'lh', 'service', 'exit', 'exterior', 'emergency', 'light', 'inop', '01', 'removed', 'replaced', 'aft', 'lh', 'power', 'supply', 'iaw', 'amm', '335106']",OTHER                     ,NO TEST                   
OTHER                     ,38045,"['vibration', 'felt', 'entire', 'flight', 'mostly', 'starboard', 'side', 'pronounced', 'near', 'row', '10found', 'delam', 'le', 'panel', '192', 'bl', 'accomplished', 'ea', '2115302251', 'cleaned', 'inspected', 'affected', 'area', 'applied', 'speed', 'tape', 'repetive', 'insp', 'reqd', 'every', '8', 'days', 'remove', 'speed', 'tape', 'accomplish', 'dvi', 'tap', 'test', 'insp', 'panel', '192', 'bl', 'damage', 'propagation', 'permanent', 'repair', 'reqd', '30', 'days', 'ref', 'b737800', 'srm', '534070', 'replace', 'panel', '192', 'bl', 'mpn', '149s725916repetitive', 'action', 'required']",OTHER                     ,VIBRATION/BUFFET          
WARNING INDICATION        ,75450,"['inspection', 'typesdrclimbing', '32000', 'door', 'l1', 'slide', 'warning', 'buzzer', 'activated', 'red', 'warning', 'light', 'illuminated', 'pushed', 'door', 'handle', 'warnings', 'ceased', 'green', 'lock', 'indicator', 'visible', 'ecam', 'warning', 'pressurizaiton', 'lossperformed', 'door', 'warning', 'switch', 'test', 'ref', 'amm', '52', '71', '00', 'test', 'good', 'idications', 'normal', 'defects', 'not']",WARNING INDICATION        ,NO WARNING INDICATION     
WARNING INDICATION        ,1448,"['aircraft', 'grounded', 'recirculation', 'fan', 'status', 'light', 'illuminated', 'associated', 'faint', 'burning', 'smell', 'door', '3r', 'turned', 'recirculation', 'fans', 'smell', 'dissipated', 'replaced', 'aft', 'upper', 'recirculation', 'fan', 'serviceable', 'unit', 'iaw', 'amm', '212501', 'ops', 'check', 'good']",WARNING INDICATION        ,SMOKE/FUMES/ODORS/SPARKS  
WARNING INDICATION        ,63263,"['pilots', 'report', 'maint', 'light', 'on', 'grounded', 'yes', 'found', 'pack', 'temp', 'ctrl', 'primary', 'l', 'status', 'message', 'ran', 'b7379', 'fim', '310000810801', 'fault', 'code', '215', '102', '41', 'message', 'cleared', 'deemed', 'transitory', 'defects', 'not']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,3288,"['aircraft', 'grounded', 'floor', 'aisle', 'light', 'detatched', 'lying', 'floor', 'near', '15c', 'secured', 'emergency', 'aisle', 'light', 'seat', '15c', 'checks', 'ok', 'per', 'amm', '335100']",OTHER                     ,NO TEST                   
OTHER                     ,86672,"['girt', 'bar', 'forward', 'service', 'door', 'stay', 'girt', 'bar', 'latches', 'forward', 'service', 'door', 'opened', '01', 'inspected', 'fwd', 'service', 'door', 'slide', 'girt', 'bar', 'retainer', 'clips', 'defects', 'noted', 'per', 'amm', '256601']",OTHER                     ,F.O.D.                    
OTHER                     ,52621,"['lh', 'cockpit', 'side', 'window', 'glass', 'fractured', 'entire', 'window', 'climb', 'out']",OTHER                     ,OVER TEMP                 
OTHER                     ,38986,"['mid', 'cabin', 'emergency', 'exit', 'light', 'hanging', 'ceiling', 'broken', 'mount', '01', 'accomplish', 'ea', '2113302605', 'assigned', 'subtask', '02', 'lp', '1686559', 'installed', 'interim', 'repair', 'per', 'ea', '2113302605', 'permanent', 'repair', 'required', 'within', '2', 'day']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,89689,"['engine', '1', 'fail', 'loud', 'bang', 'severe', 'damage', 'qrcqrh', 'procedures', 'complied', 'with', 'overtemp', 'n2', 'zero', '01', 'rr', '1', 'eng', 'ref', 'tc', '7710001']",WARNING INDICATION        ,OTHER                     
WARNING INDICATION        ,5933,"['aircraft', 'grounded', 'cids', 'message', 'flight', 'attendant', 'panel', 'check', 'pressure', 'door', '1l', 'serviced', 'door', 'damper', 'cylinder', 'per', 'amm', '521000']",WARNING INDICATION        ,OTHER                     
OTHER                     ,67611,"['pda', '1', '1c', 'visit', 'gso', 'found', 'arrival', '2', 'engine', 'inbd', 'compressor', 'gas', 'fairing', 'majority', 'panel', 'missing', 'evidence', 'panel', 'upper', 'forward', 'section', 'replaced', 'gas', 'path', 'fair']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,77718,"['multiple', 'emergency', 'lights', 'inopops', 'check', 'emergency', 'lights', 'iaw', 'crj', '550', 'amm', '335100', 'ops', 'check', 'good']",OTHER                     ,MULTIPLE FAILURE          
FLT CONT AFFECTED         ,22377,"['pdis', '972', '2750', '7959', '22dec21', 'cgn', 'fact', 'u', 'te', 'flap', 'asym', 'illuminated', 'flaps', '1', 'selected', 'followed', 'qrh', '9114', 'landed', '162', 'kias', 'issues', 'part', '22dec21', '1933', 'cdg', 'u', 'identified', 'parts', 'flap', 'position', 'transmitter', 'mpn', '18196918', 'cpn', '2716327', 'qty', '1', 'part', '22dec21', '1934', 'cdg', 'u', 'identified', 'parts', 'flap', 'position', 'xmtr', 'lh', 'mpn', '18196917', 'cpn', '2716328', 'qty', '1', 'ri', '22dec21', '2037', 'cgn', 'u', 'reason', 'code', 'premature', 'removalinstallation', 'mpn', '18196917', 'pos', 'onl', 'srl', '0795b', 'tag', 'nbr', '3g8290', 'mpn', '18196917', 'cpn', '2716328', 'srl', '0086', 'tag', 'nbr', '446f46', 'fact', '22dec21', '2037', 'cgn', 'u', 'flaps', 'move', 'elect']",FLT CONT AFFECTED         ,OTHER                     
OTHER                     ,56256,"['aircraft', 'grounded', 'captains', 'sliding', 'window', 'difficult', 'open', 'adjusted', 'sliding', 'window', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '561211']",OTHER                     ,OVER TEMP                 
OTHER                     ,84097,"['aft', 'service', 'door', 'slide', 'light', 'inop', '01', 'removed', 'replaced', 'performed', 'good', 'installation', 'check', 'm1672', 'battery', 'pack', 'battery', 'charger', 'iaw', 'amm', '335106960806', 'amm', '335106960805', 'lights', 'associated', 'm1672', 'battery', 'illuminate', 'properly02', 'verified', 'corrective', 'action', 'entry', '1']",OTHER                     ,NO TEST                   
OTHER                     ,46957,"['multiple', 'areas', 'corrosion', 'lh', 'pressure', 'floor', 'sill', 'panel', 'areas', 'marked', 'ccheck', 'ro', '3242021', 'repaired', 'multiple', 'areas', 'corrosion', 'lh', 'pressure', 'floor', 'sill', 'panel', 'complying', 'reo', '601r5341666', 'rev', 'c', 'dated', '20121106', 'reo', '601r53412881', 'rev', 'dated', '20210305', 'see', 'continuation', 'card', 'details', 'complied', 'skywest', 'task', 'card', '519001003ski']",OTHER                     ,MULTIPLE FAILURE          
OTHER                     ,42861,"['supplemental', 'information', '3', 'emergency', 'lights', 'inop', 'right', 'wing', 'emergency', 'exit', '01', 'reset', 'battery', 'pack', 'right', 'side', 'emergency', 'exit', 'check', 'good', 'numerous', 'tim']",OTHER                     ,NO TEST                   
OTHER                     ,61749,"['aircraft', 'base', 'maintenance', 'frame', 'foot', 'coupling', 'cracked', 'fastener', 'hole', 'fr', '43', 's21l', 's22l', 'maintenance', 'replaced', 'frame', 'per', 'ea', '340956']",OTHER                     ,NO TEST                   
VIBRATION/BUFFET          ,31882,"['nose', 'wheel', 'shimmy', 'to', 'emerg', 'declrd', 'landed', 'safely', 'caperformed', 'landing', 'gear', 'vibrationshimmy', 'inspection', 'iaw', 'amm', 'task', '055024', 'subtask', '210006a', 'found', 'rh', 'nose', 'wheel', 'spinning', 'round', 'removed', 'replaced', 'lh', 'nose', 'wheel', 'assembly', 'iaw', 'envoy', 'erj175', 'task', 'card', '324901000801a']",VIBRATION/BUFFET          ,OTHER                     
OTHER                     ,19160,"['main', 'exit', 'signlight', 'emergency', 'lights', 'armed', 'pax', 'safety', 'exit', 'light', 'remains', 'main', 'entrance', 'corrective', 'action', 'reset', 'emergency', 'lighting', 'inertia', 'switch', 'required', 'ops', 'checked', 'good', 'reference', 'ce', '680a', 'amm', '335000']",OTHER                     ,FALSE WARNING             
WARNING INDICATION        ,11120,"['crew', 'reports', 'vtk', 'flag', 'nav', 'display', 'landing', 'left', 'side', 'grounded', 'yes', 'left', 'fmc', 'bite', 'shows', 'fmcl', 'pgm', 'fault', 'fmc', 'fault', 'fmcl', 'fmc', 'cdur', 'ground', 'flight', 'faults', 'reset', '1', 'fmc', 'ref', 'b737900er', 'fim', '3461', 'task', '837', 'performed', '1', 'fmc', 'ops', 'test', 'ref', 'b737900er', 'amm', '346100', 'ops', 'cks', 'good', 'fault']",WARNING INDICATION        ,FALSE WARNING             
SMOKE/FUMES/ODORS/SPARKS  ,54430,"['aircraft', 'grounded', 'left', 'front', 'galley', 'coffee', 'maker', 'smoking', 'replaced', 'coffee', 'maker', 'accomplished', 'satisfactory', 'operational', 'check']",SMOKE/FUMES/ODORS/SPARKS  ,OTHER                     
WARNING INDICATION        ,56888,"['aircraft', 'grounded', 'emergency', 'power', 'supply', 'unit', '12wl', 'fails', 'test', 'cids', '1', 'replaced', 'emergency', 'power', 'supply', 'unit', '12wl', 'battery', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '335138']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,30860,"['emergency', 'exit', 'sign', 'ceiling', 'middle', 'cabin', 'working', 'exit', 'signs', 'near', 'aft', 'overwing', 'exits', 'also', 'working', 'deferred', 'cabin', 'emergency', 'light', 'iaw', 'mel', '33511a', 'entered', 'mm02', 'placard', 'per', 'mel', 'moc', 'notified', '95784', 'r', 'r', 'battery', 'pack', '4', 'charger', 'ps', '38', 'iaw', 'amm', '335117', 'ops', 'test', 'good', 'clears', 'mel', 'removed', 'mm02', 'ac', 'ok', 'svc', 'battery', 'charger', 'also', 'replac']",OTHER                     ,NO TEST                   
FLT CONT AFFECTED         ,52627,"['n350wc', 'declared', 'emergency', 'due', 'elevator', 'trim', 'malfunctioning', 'crew', 'preparing', 'descent', 'destination', 'airport', 'kric', 'crew', 'followed', 'emergency', 'checklist', 'landed', 'problems', 'maintenance', 'checked', 'trim', 'system', 'found', 'one', 'popsicle', 'left', 'one', 'popsicle', 'binding', 'hard', 'rotate', 'removed', 'actuators', 'pn', '636121521', '22', 'installed', 'new', 'actuators', 'pn', '63960223', '4', 'trim', 'system', 'tested', 'operating', 'norm']",FLT CONT AFFECTED         ,OTHER                     
WARNING INDICATION        ,51090,"['nose', 'door', 'open', 'red', 'msg', 'takeoff', 'ran', 'qrh', 'checklist', 'prox', 'sys', 'fault', 'status', 'msg', 'also', 'came', 'inspected', 'nose', 'landing', 'gear', 'doors', 'found', 'multiple', 'bushings', 'missing', 'mounting', 'points', 'forward', 'nlg', 'doors', 'installed', 'bushings', 'iaw', 'crj', '900', 'amm', '322201000400801', 'ops', 'check', 'good', 'clearance', 'check', 'good']",WARNING INDICATION        ,INFLIGHT SEPARATION       
WARNING INDICATION        ,716,"['climbing', 'fl195', 'received', 'cabin', 'altitude', 'caution', 'initiated', 'descent', 'received', 'cabin', 'alt', 'warning', 'little', 'airflow', 'felt', 'cockpit', 'cw', 'qrh', 'entirety', 'aircraft', 'removed', 'service', 'resecured', 'line', 'water', 'seperator', 'ref', 'amm', 'sup', '15132a', 'leak', 'check', 'good', 'unpressurized', 'ac', 'using', 'apu']",WARNING INDICATION        ,FLUID LOSS                
WARNING INDICATION        ,4217,"['aircraft', 'grounded', 'cids', 'panel', 'shows', 'door', '4l', 'shows', 'disarmed', 'need', 'check', 'door', 'pressure', 'serviced', 'l4', 'door', 'assist', 'bottle', 'serviceable', 'limits', 'iaw', '522200']",WARNING INDICATION        ,OTHER                     
OTHER                     ,89289,"['several', 'emergency', 'cabin', 'lights', 'inop', '01', 'removed', 'replaced', 'emergency', 'battery', 'packs', 'row', '7', 'abc', '7def', '20', 'abc', 'aft', 'galley', 'right', 'hand', 'side', 'ops', 'checks', 'good', 'per', 'mm', '33510602', 'inspected', 'work', 'perform']",OTHER                     ,NO TEST                   
OTHER                     ,94145,"['aircraft', 'grounded', 'forward', 'entry', 'door', 'l1', 'slide', 'girt', 'bar', 'clips', 'adjusted', 'iaw', 'amm', '256601', 'supplemental', 'report', 'required', 'open']",OTHER                     ,F.O.D.                    
WARNING INDICATION        ,64022,"['performing', 'asa', 'tc', '3100500', 'found', 'smt', 'message', 'fault', 'bleed', 'pm', 'sensor', '1', 'l', 'present', 'leg', 'maint', 'msg', '3621020', 'engine', 'start', 'engine', '1', 'manifold', 'duct', 'pressure', 'sensor', '1', 'signal', 'range', 'grounded', 'yes', 'performed', 'asa', 'tc', '31005001', 'found', 'bleed', 'pm', 'sensor', '1l', 'fault', 'latched', 'msg', 'troubleshot', 'iaw', 'fim', 'task', '362100810803', 'performed', 'electrical', 'lru', 'replacement', 'test', 'lt', 'rt', 'iaw', 'amm', '360000710801', 'tests', 'passed', 'performed', 'tc', '3100500', 'latched', 'msgs', 'found', 'msg', 'inactive', 'flight', 'deck', 'effects', 'pag']",WARNING INDICATION        ,FALSE WARNING             
OTHER                     ,60186,"['aircraft', 'base', 'maintenance', 'corrosion', 'aft', 'passenger', 'cabin', 'crease', 'angle', 'located', 'bs', '947', 'bs', '1010', 'rbl', '47', 'replaced', 'crease', 'angle', 'per', 'aard', '510005', 'dwg', '147a8501']",OTHER                     ,NO TEST                   
OTHER                     ,60975,"['aircraft', 'base', 'maintenance', 'corrosion', 'forward', 'cargo', 'compartment', 'left', 'hand', 'transition', 'panel', 'located', 'bs', '500', 'bs', '500i', 's25l', 'replaced', 'transition', 'panel', 'per', 'aard', '5100051', 'r1']",OTHER                     ,NO TEST                   
SMOKE/FUMES/ODORS/SPARKS  ,26064,"['diversion', 'emergency', 'declared', 'fl360', 'l2', 'window', 'began', 'arcing', 'along', 'entire', 'bottom', 'appeared', 'catch', 'fire', 'one', 'area', 'removed', 'power', 'found', 'window', 'cracked', 'deformedremoved', 'replaced', 'l2', 'window', 'iaw', 'mm', 'cht', '561102401', 'opslk', 'ck', 'pressure', 'cks', 'good', 'pn', 'onoff', '141t483597', 'sn', '15135h2901', '19213h2010', 'ipc', '56110210e', 'item', '017m']",SMOKE/FUMES/ODORS/SPARKS  ,FLAME/FIRE                
OTHER                     ,61740,"['aircraft', 'base', 'maintenance', 'corrosion', 'main', 'cabin', 'aft', 'pressure', 'bulkhead', 'seal', 'retainers', 'located', 'bs', '1016', 'rbl', '45', 'lbl', '45', 'replaced', '5', 'seal', 'retainers', 'per', 'dwg', '6546823', 'for', 'parts', 'information', 'see', 'aala202212205004', 'aala202301123979', 'aala202301127351', 'aala202301120840', 'aala202301128973']",OTHER                     ,NO TEST                   
F.O.D.                    ,96245,"['diverted', 'jfk', 'due', 'two', 'lavatories', 'inoperative', 'enroute', 'mtc', 'cw', 'overweight', 'landing', 'inspection', 'removed', 'bundle', 'paper', 'towels', 'waste', 'duct', 'cleared', 'mel', 'inoperative', 'vacuum', 'blow']",F.O.D.                    ,MULTIPLE FAILURE          
OTHER                     ,95977,"['none', 'lavatories', 'flush', 'apon', 'arrival', 'mco', 'found', 'vacuum', 'waste', 'control', 'circuit', 'c11', 'vaccum', 'waste', 'cont', 'cb', 'per', 'wdm', '3832126', 'pg', '6', 'serviced', 'lav', 'breaker', 'c11', 'p91', 'board', 'preformed', 'fim', '3830', 'task', '811', 'tank', 'operated', 'lav', 'system', 'several', 'times', 'defects', 'noted', 'ok', 'checked', 'circuit', 'wiring', 'blower', 'motor', 'altitude', 'service', 'switch', 'dump', 'valve', 'prox', 'switch', 'checked', 'normal', 'replac']",OTHER                     ,AFFECT SYSTEMS            
WARNING INDICATION        ,57636,"['aircraft', 'grounded', 'cids', 'test', 'shows', 'class', '1', 'emergency', 'power', 'supply', 'unit', '13wl', 'fault', 'replaced', 'emergency', 'power', 'supply', 'unit', '13wl', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '335138']",WARNING INDICATION        ,NO TEST                   
WARNING INDICATION        ,75170,"['inspection', 'typena', 'atbsdr', 'filed', 'openno', 'emerg', 'action', 'ac', 'landed', 'without', 'incidentduring', 'start', 'l', 'aoa', 'probe', 'eicas', 'displayed', 'left', 'angle', 'attack', 'senosr', 'heater', 'sys', 'icing', 'mel', 'cdl', '30', '32', '1', 'dmp', 'accomplished', '1833951', 'authorized', '1833951', 'autorized', '0557551', 'reqd', 'wntry', 'placard', 'installed', 'di', 'log', 'upd']",WARNING INDICATION        ,FLT. ATTITUDE INST.       
OTHER                     ,8165,"['aircraft', 'grounded', 'emergency', 'light', 'lens', 'missing', 'seats', '12d', '11g', '8g', 'replaced', 'emergency', 'path', 'light', 'assemblies', 'new', 'aala202111228361', 'aala202111248755', 'iaw', 'cmm', '25', '0267', 'ops', 'check', 'good']",OTHER                     ,INADEQUATE Q C            
WARNING INDICATION        ,98378,"['bleed', '1', 'overtemp', 'climboutand', 'decent', 'ord', 'anti', 'ice', 'inop', 'message', 'reported', 'bleed', '1', 'overtemp', 'enroute', 'flt', 'declared', 'emergency', 'due', 'icing', 'conditions', 'landed', 'safely', 'replaced', 'nr', '1', 'precooler', 'iaw', 'amm', '361104', 'ref', 'nrwc', '613ord05129', 'item', '2', 'precooler', 'opc', 'orig', 'submission', 'date', '1222023']",WARNING INDICATION        ,OTHER                     
ENGINE STOPPAGE           ,19364,"['nr', '2', 'engine', 'failed', 'takeoff', 'gear', 'retraction', 'heard', 'loud', 'bangs', 'itt', 'spiked', 'top', 'red', 'engine', 'producing', 'power', 'point', 'followed', 'sops', 'ran', 'checklists', 'shut', 'engine', 'back', 'landing', 'felt', 'vibrations', 'coming', 'engine', 'shut', 'flight', 'indications', 'fire', 'found', 'visible', 'damage', 'outside', 'engine', 'windmilling', 'wind', 'removed', 'engine', 'installed', 'inspected', 'serviceable', 'engine', 'performed', 'follow', 'checks', 'required', 'satisfactory', 'results', 'leaks', 'noted', 'maintenance', 'accomplished', 'iaw', 'amm', '710003']",ENGINE STOPPAGE           ,FLAME/FIRE                
WARNING INDICATION        ,62040,"['autopilot', 'b', 'kickedoff', 'two', 'times', 'cruise', 'flight', 'switched', 'autopilot', 'worked', 'fine', 'grounded', 'yes', 'removed', 'replaced', 'fcc', 'b', 'iaw', 'b737800', 'amm', '221133000400801', 'verified', 'correct', 'sw', 'previously', 'loaded', 'fcc', 'ab', 'match', 'ops', 'performed', 'dfcs', 'lru', 'replacement', 'test', 'b737800', 'fcc', 'iaw', 'b737800', 'fim', '2211', 'task', '802', 'performed', 'dfcs', 'land', 'verify', 'iaw', 'amm', '221100700801', 'tests', 'pass', 'faults', 'also', 'performed', 'hgs', 'system', 'test', 'iaw', 'smm', '343600', 'sec', '500', 'test', 'pass', 'fault']",WARNING INDICATION        ,OTHER                     
OTHER                     ,89387,"['crew', 'reported', 'wing', 'emergency', 'exit', 'light', 'secured', '01', 'resecured', 'overwing', 'exit', 'emergency', 'light', 'per', 'sip']",OTHER                     ,NO TEST                   
OTHER                     ,62081,"['fmc', 'prst', 'button', 'light', 'reset', 'grounded', 'yes', 'performed', 'fmc', 'computer', 'system', 'bite', 'procedure', 'ref', 'b737900', 'fim', '3461', 'task', '801', 'found', 'fmc', 'l', 'detected', 'fault', 'right', 'cdu', 'removed', 'replaced', 'mcdu', 'iaw', 'b737900', 'amm', '346101401', 'ops', 'check', 'good', 'software', 'pn', 'checks', 'good']",OTHER                     ,FALSE WARNING             
WARNING INDICATION        ,2664,"['aircraft', 'grounded', 'aircraft', 'returned', 'dfw', 'due', '1', 'engine', 'fuel', 'filter', 'clog', 'message', 'emergency', 'declared', 'aircraft', 'landed', 'safely', 'without', 'incident', 'replaced', '1', 'engine', 'fuel', 'filter', 'aala202104139006', 'per', 'task', 'card', '26c40073001', 'fuel', 'filter', 'differential', 'pressure', 'switch', 'aala202104139007', 'per', 'amm', '733415400041a', 'satisfactory', 'leak', 'operational', 'check', 'accomplsih']",WARNING INDICATION        ,PARTIAL RPM/PWR LOSS      
WARNING INDICATION        ,22502,"['departed', 'udd', '223', '2215z', 'shortly', 'departure', 'noticed', 'landing', 'gear', 'handle', 'illuminated', 'red', 'position', 'checked', 'outside', 'could', 'see', 'gear', 'sides', 'aircraft', 'landing', 'gear', 'doors', 'visible', 'slowed', 'aircraft', '184kts', 'also', 'noticed', 'landing', 'gear', 'circuit', 'breaker', 'popped', 'advised', 'atc', 'landing', 'gear', 'issue', 'would', 'keep', 'advised', '40', 'miles', 'airport', 'manually', 'lowered', 'gear', 'following', 'checklist', 'procedures', 'landing', 'gear', 'indicated', 'down', 'declared', 'emergency', 'checklist', 'advises', 'landing', 'gear', 'considered', 'unsafe', 'successful', 'landing', 'made', 'sna', 'slow']",WARNING INDICATION        ,NO WARNING INDICATION     
OTHER                     ,1240,"['aircraft', 'base', 'maintenance', 'excessive', 'play', 'elevator', 'hinge', 'arm', '6', 'right', 'horizontal', 'stabilizer', 'replaced', 'elevator', 'hingearm', 'endfitting', '6', 'right', 'horizontal', 'stabilizer', 'iaw', 'amm', '551542400001a']",OTHER                     ,NO TEST                   
OTHER                     ,67245,"['pda', '3', 'right', 'wing', 'inboard', 'main', 'tedge', 'flap', 'outboard', 'end', 'upper', 'seal', 'missingonly', '1', 'upper', 'seal', 'missing', 'inbd', 'outbd', 'flaps', 'meet', 'seal', 'gap', '1', 'replaced', 'rt', 'wing', 'inboard', 'main', 'tedge', 'flap', 'outboard', 'end', 'upper', 'seal', 'ops', 'good']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,31573,"['rh', 'exterior', 'aft', 'emergency', 'light', 'inopcarar', 'rh', 'exterior', 'aft', 'emergency', 'light', 'iaw', 'emb', '140', 'amm', '335010', '2', 'l', '1', '2', '3', '4', '335010', '3', 'k', '1', '2', '3', '4', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,68917,"['ship', '3115', 'crack', 'indication', 'continuity', 'fitting', 'windshield', 'lh', 'l0180', 'inch', 'approx', 'cockpit', 'corrective', 'action', 'performed', 'repair', 'instructions', 'continuity', 'fitting', 'windshield', 'center', 'post', 'lower', 'attachment', 'per', 'era', '60279914ad', '2496183']",OTHER                     ,INADEQUATE Q C            
WARNING INDICATION        ,15691,"['ship', '3304', '4r', 'door', 'shows', 'unarmed', 'corrective', 'action', 'cycled', '4r', 'door', 'ind', 'cks', 'ok', '7447166']",WARNING INDICATION        ,OTHER                     
